"state_name","district_name","id"
"Ajmer","Ajmer",1
"Andaman and Nicobar Islands","Andaman and Nicobar Islands",1
"Andaman and Nicobar Islands","Andaman and Nicobar Islands",0
"Assam","Abor Hills",2
"Assam","Balipara Frontier Tract",1
"Assam","Cachar",7
"Assam","Darrang
",3
"Assam","Garo Hills",8
"Assam","Goalpara",1
"Assam","Kamrup
",2
"Assam","Lakhimpur
",4
"Assam","Lushai Hills",11
"Assam","Mishmi Hills",3
"Assam","Naga Hills",1
"Assam","Nowgong
",5
"Assam","Sibsagar
",6
"Assam","Tirap Frontier Tract",4
"Assam","Tuensang",2
"Assam","United Khasi and Jaintia Hills",9
"Assam","United Mikir and North Cachar Hills
",10
"Bhopal","Raisen",1
"Bhopal","Sehore",2
"Bihar","Bhagalpur",9
"Bihar","Champaran",5
"Bihar","Darbhanga",7
"Bihar","Dhanbad",16
"Bihar","Gaya",2
"Bihar","Hazaribagh",14
"Bihar","Monghyr",8
"Bihar","Muzaffarpur",6
"Bihar","Palamau",13
"Bihar","Patna",1
"Bihar","Purnea",11
"Bihar","Purulia",17
"Bihar","Ranchi",15
"Bihar","Saharsa",10
"Bihar","Santal Parganas",12
"Bihar","Saran",4
"Bihar","Shahabad",3
"Bihar","Singhbhum",18
"Bilaspur","Bilaspur",1
"Bombay","Ahmedabad",4
"Bombay","Ahmednagar",19
"Bombay","Amreli",1
"Bombay","Banaskantha",2
"Bombay","Baroda",8
"Bombay","Belgaum",26
"Bombay","Bijapur",25
"Bombay","Broach",9
"Bombay","Dangs",12
"Bombay","Dharwar",27
"Bombay","East Khandesh",13
"Bombay","Greater Bombay",16
"Bombay","Kaira",6
"Bombay","Kanara",28
"Bombay","Kolaba",17
"Bombay","Kolhapur",23
"Bombay","Mehsana",3
"Bombay","Nasik",14
"Bombay","Panch Mahals",7
"Bombay","Poona",18
"Bombay","Ratnagiri",22
"Bombay","Sabarkantha",5
"Bombay","Satara North",21
"Bombay","Satara South",24
"Bombay","Sholapur",20
"Bombay","Surat",11
"Bombay","Thana",15
"Bombay","West Khandesh",10
"Chandernagore","Chandernagore",11
"Coorg","Coorg",1
"Daman","Daman",0
"Delhi","Delhi",1
"Goa","Goa",0
"Himachal Pradesh","Chamba",1
"Himachal Pradesh","Mahasu",3
"Himachal Pradesh","Mandi",2
"Himachal Pradesh","Sirmoor",4
"Hyderabad","Adilabad",7
"Hyderabad","Aurangabad",1
"Hyderabad","Bhir",2
"Hyderabad","Bidar",5
"Hyderabad","Gulbarga",12
"Hyderabad","Hyderabad",11
"Hyderabad","Karimnagar",9
"Hyderabad","Mahbubnagar",14
"Hyderabad","Medak",10
"Hyderabad","Nalgonda",15
"Hyderabad","Nanded",6
"Hyderabad","Nizamabad",8
"Hyderabad","Osmanabad",4
"Hyderabad","Parbhani",3
"Hyderabad","Raichur",13
"Hyderabad","Warangal",16
"Jammu and Kashmir","Jammu and Kashmir",1
"Karaikal (P)","Unknown",17
"Kutch","Kutch",1
"Madhya Bharat","Bhilsa",16
"Madhya Bharat","Bhind",2
"Madhya Bharat","Dewas",15
"Madhya Bharat","Dhar",12
"Madhya Bharat","Gird",3
"Madhya Bharat","Goona",5
"Madhya Bharat","Indore",14
"Madhya Bharat","Jhabua",11
"Madhya Bharat","Mandsaur",9
"Madhya Bharat","Morena",1
"Madhya Bharat","Nimar",13
"Madhya Bharat","Rajgarh",6
"Madhya Bharat","Ratlam",10
"Madhya Bharat","Shajapur",7
"Madhya Bharat","Shivpuri",4
"Madhya Bharat","Ujjain",8
"Madhya Pradesh","Akola",21
"Madhya Pradesh","Amravati",20
"Madhya Pradesh","Balaghat",9
"Madhya Pradesh","Bastar",16
"Madhya Pradesh","Betul",13
"Madhya Pradesh","Bhandara",15
"Madhya Pradesh","Bilaspur",4
"Madhya Pradesh","Buldana",22
"Madhya Pradesh","Chanda",17
"Madhya Pradesh","Chhindwara",10
"Madhya Pradesh","Durg",8
"Madhya Pradesh","Hoshangabad",11
"Madhya Pradesh","Jabalpur",2
"Madhya Pradesh","Mandla",3
"Madhya Pradesh","Nagpur",14
"Madhya Pradesh","Nimar",12
"Madhya Pradesh","Raigarh",6
"Madhya Pradesh","Raipur",7
"Madhya Pradesh","Sagar",1
"Madhya Pradesh","Surguja",5
"Madhya Pradesh","Wardha",18
"Madhya Pradesh","Yeotmal",19
"Madras","Anantapur",10
"Madras","Bellary",12
"Madras","Chingleput",13
"Madras","Chittoor",8
"Madras","Coimbatore",22
"Madras","Cuddapah",9
"Madras","East Godavari",3
"Madras","Guntur",6
"Madras","Krishna",5
"Madras","Kurnool",11
"Madras","Madras",26
"Madras","Madurai",21
"Madras","Malabar",24
"Madras","Nellore",7
"Madras","Nilgiris",23
"Madras","North Arcot",14
"Madras","Ramanathapuram",19
"Madras","Salem",15
"Madras","South Arcot",16
"Madras","South Kanara",25
"Madras","Srikakulam",1
"Madras","Tanjore",17
"Madras","Tiruchirapalli",18
"Madras","Tirunelveli",20
"Madras","Vizagapatnam",2
"Madras","West Godavari",4
"Mahe (P)","Mahe (P)",0
"Manipur","Manipur",1
"Mysore","Bangalore",8
"Mysore","Chikmagalur",2
"Mysore","Chitaldrug",3
"Mysore","Hassan",5
"Mysore","Kolar",9
"Mysore","Mandya",7
"Mysore","Mysore",6
"Mysore","Shimoga",1
"Mysore","Tumkur",4
"Orissa","Balasore",13
"Orissa","Bolangir",4
"Orissa","Cuttack",11
"Orissa","Dhenkanal",8
"Orissa","Ganjam",6
"Orissa","Kalahandi",1
"Orissa","Keonjhar",10
"Orissa","Koraput",2
"Orissa","Mayurbhanj",12
"Orissa","Phulbani",5
"Orissa","Puri",9
"Orissa","Sambalpur",3
"Orissa","Sundargarh",7
"Patial and East Punjab States Union","Barnala",2
"Patial and East Punjab States Union","Bhatinda",3
"Patial and East Punjab States Union","Fatehgarh Sahib",6
"Patial and East Punjab States Union","Kapurthala",1
"Patial and East Punjab States Union","Kohistan",7
"Patial and East Punjab States Union","Mohindergarh",8
"Patial and East Punjab States Union","Patiala",5
"Patial and East Punjab States Union","Sangrur",4
"Pondicherry","Pondicherry",16
"Punjab","Ambala",10
"Punjab","Amritsar",4
"Punjab","Ferozepur",5
"Punjab","Gurdaspur",2
"Punjab","Gurgaon",8
"Punjab","Hissar",6
"Punjab","Hoshiarpur",3
"Punjab","Jullundur",12
"Punjab","Kangra",1
"Punjab","Karnal",9
"Punjab","Ludhiana",11
"Punjab","Rohtak",7
"Punjab","Simla",13
"Rajasthan","Alwar",5
"Rajasthan","Banswara",22
"Rajasthan","Barmer",15
"Rajasthan","Bharatpur",6
"Rajasthan","Bhilwara",18
"Rajasthan","Bikaner",2
"Rajasthan","Bundi",23
"Rajasthan","Chittorgarh",20
"Rajasthan","Churu",3
"Rajasthan","Dungarpur",21
"Rajasthan","Ganganagar",1
"Rajasthan","Jaipur",8
"Rajasthan","Jaisalmer",11
"Rajasthan","Jalore",16
"Rajasthan","Jhalawar",25
"Rajasthan","Jhunjhunu",4
"Rajasthan","Jodhpur",12
"Rajasthan","Kotah",24
"Rajasthan","Nagaur",13
"Rajasthan","Pali",14
"Rajasthan","Sikar",9
"Rajasthan","Sirohi",17
"Rajasthan","Swai Madhopur",7
"Rajasthan","Tonk",10
"Rajasthan","Udaipur",19
"Rann of Kutch","Kutch",0
"Saurashtra","Central Saurashtra",2
"Saurashtra","Gohilwad",4
"Saurashtra","Halar",1
"Saurashtra","Sorath",5
"Saurashtra","Zalawad",3
"Sikkim","Sikkim",1
"Travancore-Cochin","Kottayam",2
"Travancore-Cochin","Quilon",3
"Travancore-Cochin","Trichur",1
"Travancore-Cochin","Trivandrum",4
"Tripura","Tripura",1
"Uttar Pradesh","Agra",19
"Uttar Pradesh","Aligarh",17
"Uttar Pradesh","Allahabad",29
"Uttar Pradesh","Almora",3
"Uttar Pradesh","Azamgarh",47
"Uttar Pradesh","Bahraich",34
"Uttar Pradesh","Ballia",48
"Uttar Pradesh","Banares",50
"Uttar Pradesh","Banda",33
"Uttar Pradesh","Bara Banki",35
"Uttar Pradesh","Bareilly",12
"Uttar Pradesh","Basti",42
"Uttar Pradesh","Bijnor",8
"Uttar Pradesh","Budaun",10
"Uttar Pradesh","Bulandshahr",16
"Uttar Pradesh","Dehra Dun",5
"Uttar Pradesh","Deoria",44
"Uttar Pradesh","Etah",20
"Uttar Pradesh","Etawah",23
"Uttar Pradesh","Faizabad",41
"Uttar Pradesh","Farrukhabad",22
"Uttar Pradesh","Fatehpur",28
"Uttar Pradesh","Garhwal",2
"Uttar Pradesh","Ghazipur",49
"Uttar Pradesh","Gonda",38
"Uttar Pradesh","Gorakhpur",43
"Uttar Pradesh","Hamirpur",32
"Uttar Pradesh","Hardoi",24
"Uttar Pradesh","Jalaun",31
"Uttar Pradesh","Jaunpur",46
"Uttar Pradesh","Jhansi",30
"Uttar Pradesh","Kanpur",27
"Uttar Pradesh","Kheri",25
"Uttar Pradesh","Lucknow",36
"Uttar Pradesh","Mainpuri",21
"Uttar Pradesh","Mathura",18
"Uttar Pradesh","Meerut",15
"Uttar Pradesh","Mirzapur",51
"Uttar Pradesh","Moradabad",9
"Uttar Pradesh","Muzaffarnagar",7
"Uttar Pradesh","Naini Tal",4
"Uttar Pradesh","Pilibhit",13
"Uttar Pradesh","Pratapgarh",45
"Uttar Pradesh","Rae Bareli",39
"Uttar Pradesh","Rampur",11
"Uttar Pradesh","Saharanpur",6
"Uttar Pradesh","Shahjahanpur",14
"Uttar Pradesh","Sitapur",26
"Uttar Pradesh","Sultanpur",40
"Uttar Pradesh","Tehri Garhwal",1
"Uttar Pradesh","Unnao",37
"Vindhya Pradesh","Chhatarpur",3
"Vindhya Pradesh","Datia",1
"Vindhya Pradesh","Panna",4
"Vindhya Pradesh","Rewa",6
"Vindhya Pradesh","Satna",5
"Vindhya Pradesh","Shahdol",8
"Vindhya Pradesh","Sidhi",7
"Vindhya Pradesh","Tikamgarh",2
"West Bengal","24 - Parganas",8
"West Bengal","Bankura",14
"West Bengal","Birbhum",13
"West Bengal","Burdwan",12
"West Bengal","Calcutta",9
"West Bengal","Cooch Behar",3
"West Bengal","Darjeeling",1
"West Bengal","Hooghly",11
"West Bengal","Howrah",10
"West Bengal","Jalpaiguri",2
"West Bengal","Malda",5
"West Bengal","Midnapur",15
"West Bengal","Murshidabad",6
"West Bengal","Nadia",7
"West Bengal","West Dinajpur",4
"Yanam","Yanam",0
"Unknown","Unknown",0
