state_name,% of children who never eat eggs
A & N Islands,98.0477223427332
Andhra Pradesh,97.95270031768443
Arunachal Pradesh,98.87762490948589
Assam,98.54391733208078
Bihar,85.11406844106463
Chandigarh,55.74712643678161
Chhattisgarh,88.066713648109
DNHDD,84.15094339622642
Delhi,72.04630575417093
Goa,96.2059620596206
Gujarat,42.71382245642481
Haryana,36.963123644251624
Himachal Pradesh,61.29032258064516
Jammu & Kashmir,87.19480962950315
Jharkhand,94.5157758534886
Karnataka,85.48252415603005
Kerala,96.04974396488662
Ladakh,93.95085066162571
Lakshadweep,99.27536231884058
Madhya Pradesh,54.11547911547912
Maharashtra,75.81932773109243
Manipur,98.07751937984496
Meghalaya,97.66143633071816
Mizoram,99.38875305623472
Nagaland,98.7221494102228
Odisha,90.75334428537903
Puducherry,98.43342036553526
Punjab,46.01139601139601
Rajasthan,33.17626169500785
Sikkim,92.25806451612904
Tamil Nadu,97.30686365035396
Telangana,96.89805957911997
Tripura,98.11957569913211
Uttar Pradesh,62.0449588995135
Uttarakhand,81.89746300211416
West Bengal,97.5436098255607
